id,subject,key,datetime,ip,Temperature,Pressure,Humidity,VoC,CO2,Altitude
241971,SPXEGN1TGSB2IKT9 | 1733180361,SPXEGN1TGSB2IKT9,2024-12-03 07:59:21,210.99.114.165,26.79,1018.28,20.36,443.96,27593.83,-41.96
242029,SPXEGN1TGSB2IKT9 | 1733180973,SPXEGN1TGSB2IKT9,2024-12-03 08:09:33,210.99.114.165,26.83,1018.53,19.77,438.42,26864.49,-44.12
242084,SPXEGN1TGSB2IKT9 | 1733181592,SPXEGN1TGSB2IKT9,2024-12-03 08:19:52,210.99.114.165,26.91,1018.84,19.72,428.55,25592.00,-46.44
242138,SPXEGN1TGSB2IKT9 | 1733182161,SPXEGN1TGSB2IKT9,2024-12-03 08:29:21,210.99.114.165,27.00,1018.91,19.60,421.51,24702.40,-47.27
242193,SPXEGN1TGSB2IKT9 | 1733182776,SPXEGN1TGSB2IKT9,2024-12-03 08:39:36,210.99.114.165,27.04,1018.96,19.64,419.65,24470.50,-47.43
242250,SPXEGN1TGSB2IKT9 | 1733183395,SPXEGN1TGSB2IKT9,2024-12-03 08:49:55,210.99.114.165,27.13,1019.21,19.60,416.51,24080.29,-49.67
242301,SPXEGN1TGSB2IKT9 | 1733183964,SPXEGN1TGSB2IKT9,2024-12-03 08:59:24,210.99.114.165,27.24,1019.21,19.53,412.13,23542.63,-49.75
242355,SPXEGN1TGSB2IKT9 | 1733184575,SPXEGN1TGSB2IKT9,2024-12-03 09:09:35,210.99.114.165,27.29,1019.28,19.49,412.64,23604.97,-50.17
242411,SPXEGN1TGSB2IKT9 | 1733185194,SPXEGN1TGSB2IKT9,2024-12-03 09:19:54,210.99.114.165,27.37,1019.36,19.43,412.64,23604.97,-50.75
242463,SPXEGN1TGSB2IKT9 | 1733185762,SPXEGN1TGSB2IKT9,2024-12-03 09:29:22,210.99.114.165,27.46,1019.34,19.30,412.90,23636.18,-50.58
242519,SPXEGN1TGSB2IKT9 | 1733186375,SPXEGN1TGSB2IKT9,2024-12-03 09:39:35,210.99.114.165,27.49,1019.29,19.20,411.88,23511.49,-50.25
242575,SPXEGN1TGSB2IKT9 | 1733186992,SPXEGN1TGSB2IKT9,2024-12-03 09:49:52,210.99.114.165,27.67,1019.51,19.10,411.37,23449.52,-52.16
242627,SPXEGN1TGSB2IKT9 | 1733187560,SPXEGN1TGSB2IKT9,2024-12-03 09:59:20,210.99.114.165,27.85,1019.54,19.14,408.35,23082.44,-52.07
242681,SPXEGN1TGSB2IKT9 | 1733188168,SPXEGN1TGSB2IKT9,2024-12-03 10:09:28,210.99.114.165,28.10,1019.50,18.98,408.10,23052.21,-51.74
